Name;Alter;Letzter Besuch;Ort
Peter;58;02.05.2010 00:00:00;Köln
Paul;3;22.01.2009 00:00:00;München
Maria;90;28.01.2011 00:00:00;Hamburg
Jupp;11;27.03.2009 00:00:00;Berlin
Jopi;38;15.11.2009 00:00:00;Wanne-Eikel
Pumuckl;29;02.09.2009 00:00:00;Bottrop
Hanna;35;21.10.2009 00:00:00;Essen
Jakob;17;17.05.2009 00:00:00;Wuppertal
Stefan;28;25.08.2009 00:00:00;Köln
Karli;79;28.10.2010 00:00:00;München
Mike;45;12.01.2010 00:00:00;Hamburg
Mausi;103;19.05.2011 00:00:00;Berlin
Peter;7;26.02.2009 00:00:00;Wanne-Eikel
Paul;68;23.07.2010 00:00:00;Bottrop
Maria;70;09.08.2010 00:00:00;Essen
Jupp;71;24.08.2010 00:00:00;Wuppertal
Jopi;17;17.05.2009 00:00:00;Köln
Pumuckl;6;15.02.2009 00:00:00;München
Hanna;90;25.01.2011 00:00:00;Hamburg
Jakob;11;03.04.2009 00:00:00;Berlin
Stefan;48;03.02.2010 00:00:00;Wanne-Eikel
Karli;96;22.03.2011 00:00:00;Bottrop
Mike;91;06.02.2011 00:00:00;Essen
Mausi;102;06.05.2011 00:00:00;Wuppertal
Peter;58;30.04.2010 00:00:00;Köln
Paul;89;23.01.2011 00:00:00;München
Maria;62;05.06.2010 00:00:00;Hamburg
Jupp;20;15.06.2009 00:00:00;Berlin
Jopi;70;09.08.2010 00:00:00;Wanne-Eikel
Pumuckl;19;03.06.2009 00:00:00;Bottrop
Hanna;62;03.06.2010 00:00:00;Essen
Jakob;70;09.08.2010 00:00:00;Wuppertal
Stefan;30;06.09.2009 00:00:00;Köln
Karli;75;20.09.2010 00:00:00;München
Mike;80;01.11.2010 00:00:00;Hamburg
Mausi;50;25.02.2010 00:00:00;Berlin
Peter;4;27.01.2009 00:00:00;Wanne-Eikel
Paul;80;05.11.2010 00:00:00;Bottrop
Maria;48;09.02.2010 00:00:00;Essen
Jupp;8;03.03.2009 00:00:00;Wuppertal
Jopi;18;27.05.2009 00:00:00;Köln
Pumuckl;99;11.04.2011 00:00:00;München
Hanna;23;09.07.2009 00:00:00;Hamburg
Jakob;48;05.02.2010 00:00:00;Berlin
Stefan;94;26.02.2011 00:00:00;Wanne-Eikel
Karli;20;16.06.2009 00:00:00;Bottrop
Mike;72;30.08.2010 00:00:00;Essen
Mausi;100;26.04.2011 00:00:00;Wuppertal
Peter;32;22.09.2009 00:00:00;Köln
Paul;51;05.03.2010 00:00:00;München
Maria;9;17.03.2009 00:00:00;Hamburg
Jupp;27;12.08.2009 00:00:00;Berlin
Jopi;21;22.06.2009 00:00:00;Wanne-Eikel
Pumuckl;21;20.06.2009 00:00:00;Bottrop
Hanna;10;18.03.2009 00:00:00;Essen
Jakob;66;11.07.2010 00:00:00;Wuppertal
Stefan;16;15.05.2009 00:00:00;Köln
Karli;93;21.02.2011 00:00:00;München
Mike;57;26.04.2010 00:00:00;Hamburg
Mausi;53;23.03.2010 00:00:00;Berlin
Peter;72;27.08.2010 00:00:00;Wanne-Eikel
Paul;16;08.05.2009 00:00:00;Bottrop
Maria;51;08.03.2010 00:00:00;Essen
Jupp;10;24.03.2009 00:00:00;Wuppertal
Jopi;18;28.05.2009 00:00:00;Köln
Pumuckl;80;03.11.2010 00:00:00;München
Hanna;74;12.09.2010 00:00:00;Hamburg
Jakob;37;05.11.2009 00:00:00;Berlin
Stefan;93;19.02.2011 00:00:00;Wanne-Eikel
Karli;20;14.06.2009 00:00:00;Bottrop
Mike;68;29.07.2010 00:00:00;Essen
Mausi;41;10.12.2009 00:00:00;Wuppertal
Peter;62;06.06.2010 00:00:00;Köln
Paul;82;25.11.2010 00:00:00;München
Maria;98;06.04.2011 00:00:00;Hamburg
Jupp;53;25.03.2010 00:00:00;Berlin
Jopi;74;13.09.2010 00:00:00;Wanne-Eikel
Pumuckl;44;01.01.2010 00:00:00;Bottrop
Hanna;9;10.03.2009 00:00:00;Essen
Jakob;38;14.11.2009 00:00:00;Wuppertal
Stefan;18;27.05.2009 00:00:00;Köln
Karli;66;10.07.2010 00:00:00;München
Mike;93;21.02.2011 00:00:00;Hamburg
Mausi;19;06.06.2009 00:00:00;Berlin
Peter;10;19.03.2009 00:00:00;Wanne-Eikel
Paul;35;22.10.2009 00:00:00;Bottrop
Maria;49;18.02.2010 00:00:00;Essen
Jupp;10;20.03.2009 00:00:00;Wuppertal
Jopi;66;05.07.2010 00:00:00;Köln
Pumuckl;14;24.04.2009 00:00:00;München
Hanna;34;13.10.2009 00:00:00;Hamburg
Jakob;15;05.05.2009 00:00:00;Berlin
Stefan;23;13.07.2009 00:00:00;Wanne-Eikel
Karli;100;19.04.2011 00:00:00;Bottrop
Mike;40;05.12.2009 00:00:00;Essen
Mausi;3;19.01.2009 00:00:00;Wuppertal
Peter;48;03.02.2010 00:00:00;Köln
Paul;13;17.04.2009 00:00:00;München
Maria;30;11.09.2009 00:00:00;Hamburg
Jupp;14;26.04.2009 00:00:00;Berlin
Jopi;51;04.03.2010 00:00:00;Wanne-Eikel
Pumuckl;36;25.10.2009 00:00:00;Bottrop
Hanna;8;07.03.2009 00:00:00;Essen
Jakob;12;10.04.2009 00:00:00;Wuppertal
Stefan;87;05.01.2011 00:00:00;Köln
Karli;73;05.09.2010 00:00:00;München
Mike;69;06.08.2010 00:00:00;Hamburg
Mausi;43;26.12.2009 00:00:00;Berlin
Peter;27;14.08.2009 00:00:00;Wanne-Eikel
Paul;61;24.05.2010 00:00:00;Bottrop
Maria;97;27.03.2011 00:00:00;Essen
Jupp;77;12.10.2010 00:00:00;Wuppertal
Jopi;85;15.12.2010 00:00:00;Köln
Pumuckl;20;12.06.2009 00:00:00;München
Hanna;36;27.10.2009 00:00:00;Hamburg
Jakob;6;18.02.2009 00:00:00;Berlin
Stefan;27;15.08.2009 00:00:00;Wanne-Eikel
Karli;33;02.10.2009 00:00:00;Bottrop
Mike;1;05.01.2009 00:00:00;Essen
Mausi;87;03.01.2011 00:00:00;Wuppertal
Peter;31;15.09.2009 00:00:00;Köln
Paul;64;25.06.2010 00:00:00;München
Maria;76;01.10.2010 00:00:00;Hamburg
Jupp;79;29.10.2010 00:00:00;Berlin
Jopi;90;30.01.2011 00:00:00;Wanne-Eikel
Pumuckl;54;26.03.2010 00:00:00;Bottrop
Hanna;18;30.05.2009 00:00:00;Essen
Jakob;67;17.07.2010 00:00:00;Wuppertal
Stefan;42;21.12.2009 00:00:00;Köln
Karli;96;18.03.2011 00:00:00;München
Mike;6;19.02.2009 00:00:00;Hamburg
Mausi;61;29.05.2010 00:00:00;Berlin
Peter;14;23.04.2009 00:00:00;Wanne-Eikel
Paul;99;13.04.2011 00:00:00;Bottrop
Maria;92;10.02.2011 00:00:00;Essen
Jupp;87;30.12.2010 00:00:00;Wuppertal
Jopi;58;05.05.2010 00:00:00;Köln
Pumuckl;81;13.11.2010 00:00:00;München
Hanna;36;30.10.2009 00:00:00;Hamburg
Jakob;41;12.12.2009 00:00:00;Berlin
Stefan;71;16.08.2010 00:00:00;Wanne-Eikel
Karli;7;24.02.2009 00:00:00;Bottrop
Mike;87;04.01.2011 00:00:00;Essen
Mausi;5;12.02.2009 00:00:00;Wuppertal
Peter;21;27.06.2009 00:00:00;Köln
Paul;62;01.06.2010 00:00:00;München
Maria;35;19.10.2009 00:00:00;Hamburg
Jupp;4;01.02.2009 00:00:00;Berlin
Jopi;64;23.06.2010 00:00:00;Wanne-Eikel
Pumuckl;35;17.10.2009 00:00:00;Bottrop
Hanna;80;03.11.2010 00:00:00;Essen
Jakob;15;04.05.2009 00:00:00;Wuppertal
Stefan;13;12.04.2009 00:00:00;Köln
Karli;48;05.02.2010 00:00:00;München
Mike;88;09.01.2011 00:00:00;Hamburg
Mausi;91;07.02.2011 00:00:00;Berlin
Peter;64;24.06.2010 00:00:00;Wanne-Eikel
Paul;34;07.10.2009 00:00:00;Bottrop
Maria;27;09.08.2009 00:00:00;Essen
Jupp;34;12.10.2009 00:00:00;Wuppertal
Jopi;55;09.04.2010 00:00:00;Köln
Pumuckl;3;20.01.2009 00:00:00;München
Hanna;1;05.01.2009 00:00:00;Hamburg
Jakob;36;26.10.2009 00:00:00;Berlin
Stefan;55;04.04.2010 00:00:00;Wanne-Eikel
Karli;36;30.10.2009 00:00:00;Bottrop
Mike;64;22.06.2010 00:00:00;Essen
Mausi;90;31.01.2011 00:00:00;Wuppertal
Peter;33;30.09.2009 00:00:00;Köln
Paul;54;28.03.2010 00:00:00;München
Maria;52;15.03.2010 00:00:00;Hamburg
Jupp;51;02.03.2010 00:00:00;Berlin
Jopi;101;03.05.2011 00:00:00;Wanne-Eikel
Pumuckl;64;24.06.2010 00:00:00;Bottrop
Hanna;17;21.05.2009 00:00:00;Essen
Jakob;24;23.07.2009 00:00:00;Wuppertal
Stefan;82;19.11.2010 00:00:00;Köln
Karli;71;19.08.2010 00:00:00;München
Mike;58;05.05.2010 00:00:00;Hamburg
Mausi;29;31.08.2009 00:00:00;Berlin
Peter;19;08.06.2009 00:00:00;Wanne-Eikel
Paul;15;29.04.2009 00:00:00;Bottrop
Maria;3;24.01.2009 00:00:00;Essen
Jupp;8;07.03.2009 00:00:00;Wuppertal
Jopi;16;15.05.2009 00:00:00;Köln
Pumuckl;96;17.03.2011 00:00:00;München
Hanna;49;16.02.2010 00:00:00;Hamburg
Jakob;70;15.08.2010 00:00:00;Berlin
Stefan;12;05.04.2009 00:00:00;Wanne-Eikel
Karli;1;04.01.2009 00:00:00;Bottrop
Mike;23;09.07.2009 00:00:00;Essen
Mausi;25;30.07.2009 00:00:00;Wuppertal
Peter;55;06.04.2010 00:00:00;Köln
Paul;3;18.01.2009 00:00:00;München
Maria;91;02.02.2011 00:00:00;Hamburg
Jupp;68;27.07.2010 00:00:00;Berlin
Jopi;6;20.02.2009 00:00:00;Wanne-Eikel
Pumuckl;52;11.03.2010 00:00:00;Bottrop
Hanna;55;09.04.2010 00:00:00;Essen
Jakob;90;25.01.2011 00:00:00;Wuppertal
Stefan;102;10.05.2011 00:00:00;Köln
Karli;49;15.02.2010 00:00:00;München
Mike;76;02.10.2010 00:00:00;Hamburg
Mausi;11;29.03.2009 00:00:00;Berlin
Peter;87;02.01.2011 00:00:00;Wanne-Eikel
Paul;30;04.09.2009 00:00:00;Bottrop
Maria;18;01.06.2009 00:00:00;Essen
Jupp;53;19.03.2010 00:00:00;Wuppertal
Jopi;31;18.09.2009 00:00:00;Köln
Pumuckl;64;20.06.2010 00:00:00;München
Hanna;10;22.03.2009 00:00:00;Hamburg
Jakob;98;04.04.2011 00:00:00;Berlin
Stefan;80;01.11.2010 00:00:00;Wanne-Eikel
Karli;102;08.05.2011 00:00:00;Bottrop
Mike;15;07.05.2009 00:00:00;Essen
Mausi;41;11.12.2009 00:00:00;Wuppertal
Peter;104;26.05.2011 00:00:00;Köln
Paul;97;30.03.2011 00:00:00;München
Maria;20;14.06.2009 00:00:00;Hamburg
Jupp;63;17.06.2010 00:00:00;Berlin
Jopi;92;11.02.2011 00:00:00;Wanne-Eikel
Pumuckl;98;06.04.2011 00:00:00;Bottrop
Hanna;79;29.10.2010 00:00:00;Essen
Jakob;32;26.09.2009 00:00:00;Wuppertal
Stefan;31;19.09.2009 00:00:00;Köln
Karli;28;17.08.2009 00:00:00;München
Mike;100;25.04.2011 00:00:00;Hamburg
Mausi;99;15.04.2011 00:00:00;Berlin
Peter;78;20.10.2010 00:00:00;Wanne-Eikel
Paul;53;24.03.2010 00:00:00;Bottrop
Maria;19;02.06.2009 00:00:00;Essen
Jupp;30;10.09.2009 00:00:00;Wuppertal
Jopi;16;13.05.2009 00:00:00;Köln
Pumuckl;73;07.09.2010 00:00:00;München
Hanna;32;21.09.2009 00:00:00;Hamburg
Jakob;75;20.09.2010 00:00:00;Berlin
Stefan;43;26.12.2009 00:00:00;Wanne-Eikel
Karli;97;27.03.2011 00:00:00;Bottrop
Mike;26;03.08.2009 00:00:00;Essen
Mausi;91;08.02.2011 00:00:00;Wuppertal
Peter;78;17.10.2010 00:00:00;Köln
Paul;101;30.04.2011 00:00:00;München
Maria;40;28.11.2009 00:00:00;Hamburg
Jupp;52;15.03.2010 00:00:00;Berlin
Jopi;95;15.03.2011 00:00:00;Wanne-Eikel
Pumuckl;30;03.09.2009 00:00:00;Bottrop
Hanna;50;25.02.2010 00:00:00;Essen
Jakob;58;29.04.2010 00:00:00;Wuppertal
Stefan;92;11.02.2011 00:00:00;Köln
Karli;50;22.02.2010 00:00:00;München
Mike;69;31.07.2010 00:00:00;Hamburg
Mausi;14;22.04.2009 00:00:00;Berlin
Peter;32;28.09.2009 00:00:00;Wanne-Eikel
Paul;96;22.03.2011 00:00:00;Bottrop
Maria;103;14.05.2011 00:00:00;Essen
Jupp;4;03.02.2009 00:00:00;Wuppertal
Jopi;74;17.09.2010 00:00:00;Köln
Pumuckl;44;06.01.2010 00:00:00;München
Hanna;84;07.12.2010 00:00:00;Hamburg
Jakob;60;18.05.2010 00:00:00;Berlin
Stefan;34;09.10.2009 00:00:00;Wanne-Eikel
Karli;24;16.07.2009 00:00:00;Bottrop
Mike;79;27.10.2010 00:00:00;Essen
Mausi;82;24.11.2010 00:00:00;Wuppertal
Peter;46;18.01.2010 00:00:00;Köln
Paul;84;09.12.2010 00:00:00;München
Maria;82;23.11.2010 00:00:00;Hamburg
Jupp;7;25.02.2009 00:00:00;Berlin
Jopi;71;17.08.2010 00:00:00;Wanne-Eikel
Pumuckl;45;14.01.2010 00:00:00;Bottrop
Hanna;103;16.05.2011 00:00:00;Essen
Jakob;8;02.03.2009 00:00:00;Wuppertal
Stefan;72;28.08.2010 00:00:00;Köln
Karli;33;04.10.2009 00:00:00;München
Mike;90;29.01.2011 00:00:00;Hamburg
Mausi;95;13.03.2011 00:00:00;Berlin
Peter;59;10.05.2010 00:00:00;Wanne-Eikel
Paul;27;16.08.2009 00:00:00;Bottrop
Maria;41;12.12.2009 00:00:00;Essen
Jupp;2;17.01.2009 00:00:00;Wuppertal
Jopi;82;20.11.2010 00:00:00;Köln
Pumuckl;43;28.12.2009 00:00:00;München
Hanna;8;05.03.2009 00:00:00;Hamburg
Jakob;29;29.08.2009 00:00:00;Berlin
Stefan;89;21.01.2011 00:00:00;Wanne-Eikel
Karli;5;11.02.2009 00:00:00;Bottrop
Mike;102;12.05.2011 00:00:00;Essen
Mausi;24;21.07.2009 00:00:00;Wuppertal
Peter;75;24.09.2010 00:00:00;Köln
Paul;28;19.08.2009 00:00:00;München
Maria;1;04.01.2009 00:00:00;Hamburg
Jupp;103;19.05.2011 00:00:00;Berlin
Jopi;13;20.04.2009 00:00:00;Wanne-Eikel
Pumuckl;70;15.08.2010 00:00:00;Bottrop
Hanna;58;02.05.2010 00:00:00;Essen
Jakob;55;03.04.2010 00:00:00;Wuppertal
Stefan;22;04.07.2009 00:00:00;Köln
Karli;62;03.06.2010 00:00:00;München
Mike;7;26.02.2009 00:00:00;Hamburg
Mausi;12;06.04.2009 00:00:00;Berlin
Peter;52;11.03.2010 00:00:00;Wanne-Eikel
Paul;44;01.01.2010 00:00:00;Bottrop
Maria;91;09.02.2011 00:00:00;Essen
Jupp;47;29.01.2010 00:00:00;Wuppertal
Jopi;52;09.03.2010 00:00:00;Köln
Pumuckl;62;01.06.2010 00:00:00;München
Hanna;46;22.01.2010 00:00:00;Hamburg
Jakob;104;25.05.2011 00:00:00;Berlin
Stefan;7;22.02.2009 00:00:00;Wanne-Eikel
Karli;8;03.03.2009 00:00:00;Bottrop
Mike;50;23.02.2010 00:00:00;Essen
Mausi;47;01.02.2010 00:00:00;Wuppertal
Peter;3;25.01.2009 00:00:00;Köln
Paul;82;21.11.2010 00:00:00;München
Maria;83;26.11.2010 00:00:00;Hamburg
Jupp;95;12.03.2011 00:00:00;Berlin
Jopi;16;14.05.2009 00:00:00;Wanne-Eikel
Pumuckl;51;01.03.2010 00:00:00;Bottrop
Hanna;98;03.04.2011 00:00:00;Essen
Jakob;41;08.12.2009 00:00:00;Wuppertal
Stefan;86;28.12.2010 00:00:00;Köln
Karli;58;05.05.2010 00:00:00;München
Mike;36;31.10.2009 00:00:00;Hamburg
Mausi;43;30.12.2009 00:00:00;Berlin
Peter;45;10.01.2010 00:00:00;Wanne-Eikel
Paul;104;27.05.2011 00:00:00;Bottrop
Maria;99;11.04.2011 00:00:00;Essen
Jupp;2;14.01.2009 00:00:00;Wuppertal
Jopi;80;01.11.2010 00:00:00;Köln
Pumuckl;36;28.10.2009 00:00:00;München
Hanna;73;10.09.2010 00:00:00;Hamburg
Jakob;102;07.05.2011 00:00:00;Berlin
Stefan;21;21.06.2009 00:00:00;Wanne-Eikel
Karli;30;08.09.2009 00:00:00;Bottrop
Mike;55;08.04.2010 00:00:00;Essen
Mausi;39;19.11.2009 00:00:00;Wuppertal
Peter;56;17.04.2010 00:00:00;Köln
Paul;66;05.07.2010 00:00:00;München
Maria;82;19.11.2010 00:00:00;Hamburg
Jupp;28;22.08.2009 00:00:00;Berlin
Jopi;64;19.06.2010 00:00:00;Wanne-Eikel
Pumuckl;103;18.05.2011 00:00:00;Bottrop
Hanna;18;30.05.2009 00:00:00;Essen
Jakob;68;24.07.2010 00:00:00;Wuppertal
Stefan;82;23.11.2010 00:00:00;Köln
Karli;58;03.05.2010 00:00:00;München
Mike;100;25.04.2011 00:00:00;Hamburg
Mausi;36;28.10.2009 00:00:00;Berlin
Peter;92;16.02.2011 00:00:00;Wanne-Eikel
Paul;67;20.07.2010 00:00:00;Bottrop
Maria;39;21.11.2009 00:00:00;Essen
Jupp;76;02.10.2010 00:00:00;Wuppertal
Jopi;69;30.07.2010 00:00:00;Köln
Pumuckl;71;18.08.2010 00:00:00;München
Hanna;30;06.09.2009 00:00:00;Hamburg
Jakob;98;05.04.2011 00:00:00;Berlin
Stefan;8;03.03.2009 00:00:00;Wanne-Eikel
Karli;49;11.02.2010 00:00:00;Bottrop
Mike;3;19.01.2009 00:00:00;Essen
Mausi;52;12.03.2010 00:00:00;Wuppertal
Peter;67;21.07.2010 00:00:00;Köln
Paul;45;08.01.2010 00:00:00;München
Maria;25;24.07.2009 00:00:00;Hamburg
Jupp;75;24.09.2010 00:00:00;Berlin
Jopi;39;21.11.2009 00:00:00;Wanne-Eikel
Pumuckl;53;19.03.2010 00:00:00;Bottrop
Hanna;27;13.08.2009 00:00:00;Essen
Jakob;78;16.10.2010 00:00:00;Wuppertal
Stefan;27;16.08.2009 00:00:00;Köln
Karli;44;07.01.2010 00:00:00;München
Mike;39;26.11.2009 00:00:00;Hamburg
Mausi;55;09.04.2010 00:00:00;Berlin
Peter;73;09.09.2010 00:00:00;Wanne-Eikel
Paul;70;12.08.2010 00:00:00;Bottrop
Maria;82;18.11.2010 00:00:00;Essen
Jupp;88;10.01.2011 00:00:00;Wuppertal
Jopi;41;07.12.2009 00:00:00;Köln
Pumuckl;73;06.09.2010 00:00:00;München
Hanna;66;06.07.2010 00:00:00;Hamburg
Jakob;91;07.02.2011 00:00:00;Berlin
Stefan;4;01.02.2009 00:00:00;Wanne-Eikel
Karli;63;15.06.2010 00:00:00;Bottrop
Mike;14;27.04.2009 00:00:00;Essen
Mausi;13;15.04.2009 00:00:00;Wuppertal
Peter;102;07.05.2011 00:00:00;Köln
Paul;102;08.05.2011 00:00:00;München
Maria;34;08.10.2009 00:00:00;Hamburg
Jupp;54;02.04.2010 00:00:00;Berlin
Jopi;1;02.01.2009 00:00:00;Wanne-Eikel
Pumuckl;62;02.06.2010 00:00:00;Bottrop
Hanna;31;19.09.2009 00:00:00;Essen
Jakob;8;06.03.2009 00:00:00;Wuppertal
Stefan;63;16.06.2010 00:00:00;Köln
Karli;30;10.09.2009 00:00:00;München
Mike;65;02.07.2010 00:00:00;Hamburg
Mausi;20;12.06.2009 00:00:00;Berlin
Peter;79;25.10.2010 00:00:00;Wanne-Eikel
Paul;47;02.02.2010 00:00:00;Bottrop
Maria;30;03.09.2009 00:00:00;Essen
Jupp;30;06.09.2009 00:00:00;Wuppertal
Jopi;32;20.09.2009 00:00:00;Köln
Pumuckl;23;10.07.2009 00:00:00;München
Hanna;9;14.03.2009 00:00:00;Hamburg
Jakob;48;10.02.2010 00:00:00;Berlin
Stefan;28;25.08.2009 00:00:00;Wanne-Eikel
Karli;88;12.01.2011 00:00:00;Bottrop
Mike;3;24.01.2009 00:00:00;Essen
Mausi;103;18.05.2011 00:00:00;Wuppertal
Peter;94;28.02.2011 00:00:00;Köln
Paul;47;25.01.2010 00:00:00;München
Maria;58;29.04.2010 00:00:00;Hamburg
Jupp;39;24.11.2009 00:00:00;Berlin
Jopi;87;05.01.2011 00:00:00;Wanne-Eikel
Pumuckl;16;12.05.2009 00:00:00;Bottrop
Hanna;48;09.02.2010 00:00:00;Essen
Jakob;5;06.02.2009 00:00:00;Wuppertal
Stefan;31;14.09.2009 00:00:00;Köln
Karli;12;11.04.2009 00:00:00;München
Mike;78;18.10.2010 00:00:00;Hamburg
Mausi;41;13.12.2009 00:00:00;Berlin
Peter;20;12.06.2009 00:00:00;Wanne-Eikel
Paul;77;10.10.2010 00:00:00;Bottrop
Maria;78;14.10.2010 00:00:00;Essen
Jupp;70;13.08.2010 00:00:00;Wuppertal
Jopi;14;21.04.2009 00:00:00;Köln
Pumuckl;32;23.09.2009 00:00:00;München
Hanna;96;23.03.2011 00:00:00;Hamburg
Jakob;44;31.12.2009 00:00:00;Berlin
Stefan;5;10.02.2009 00:00:00;Wanne-Eikel
Karli;62;09.06.2010 00:00:00;Bottrop
Mike;10;18.03.2009 00:00:00;Essen
Mausi;98;03.04.2011 00:00:00;Wuppertal
Peter;44;03.01.2010 00:00:00;Köln
Paul;36;30.10.2009 00:00:00;München
Maria;60;20.05.2010 00:00:00;Hamburg
Jupp;86;23.12.2010 00:00:00;Berlin
Jopi;55;03.04.2010 00:00:00;Wanne-Eikel
Pumuckl;70;15.08.2010 00:00:00;Bottrop
Hanna;89;19.01.2011 00:00:00;Essen
Jakob;14;26.04.2009 00:00:00;Wuppertal
Stefan;99;15.04.2011 00:00:00;Köln
Karli;35;20.10.2009 00:00:00;München
Mike;65;03.07.2010 00:00:00;Hamburg
Mausi;59;08.05.2010 00:00:00;Berlin
Peter;5;04.02.2009 00:00:00;Wanne-Eikel
Paul;97;25.03.2011 00:00:00;Bottrop
Maria;25;29.07.2009 00:00:00;Essen
Jupp;48;05.02.2010 00:00:00;Wuppertal
